ID	利用者	ニーズ（やりたいこと）	目的・メリット	工数(人日)
AUTH-01	ユーザ	メール/SSOでログイン	本人性担保	3
AUTH-02	ユーザ	初回オンボーディング（フォーカス選択）	迷わず使える	2
AUTH-03	ユーザ	フォーカス設定を後から変更	後で変更可	1
PROF-01	ユーザ	プロフィール編集	仲間が見つかる	2

EV-01	ユーザ	イベント一覧/詳細閲覧	イベント軸探索	3
EV-02	管理者	イベント作成/編集/公開	運営告知	4
EV-03	管理者	告知配信（全体/イベント）	周知	4

PJ-01	ユーザ	プロジェクト作成/編集/公開（下書き含む）	作品共有	5
PJ-02	ユーザ	複数プロジェクト管理	複数運用	2
PJ-03	ユーザ	スクリーンショット登録	理解促進	4
PJ-04	ユーザ	検索/タグ/ソート（更新順デフォルト、切替）	発見性	6
PJ-05	ユーザ	プロジェクト詳細（タブ/メタ/メンバー）	判断材料	3
PJ-06	ユーザ	イベント紐づけ	ハッカソン整理	2
PJ-07	ユーザ	更新投稿（リリースノート）	認知拡大	4

SOC-01	ユーザ	コメント（プロジェクト/更新/タイムライン）	交流	4
SOC-02	ユーザ	レビュー（★+本文）	フィードバック	4
SOC-03	ユーザ	リアクション（5種類）	称賛の可視化	4
SOC-04	ユーザ	フォロー（ユーザ/プロジェクト）	継続追跡	2

SP-01	ユーザ	外部支援リンク設定	外部で支援	2
SP-02	ユーザ	支援記録作成（JPY/期限なし）	金額把握	4
SP-03	ユーザ	受領側「受け取りました」で確定	確定のみ集計	2
SP-04	ユーザ	確定前のみ：キャンセル/却下	トラブル回避	2
SP-05	ユーザ	支援一覧・確定合計表示	透明性/モチベ	3
SP-06	システム	支援記録の操作ログ	揉め事対策	1

CO-01	ユーザ	仲間募集（help_wanted）	仲間探し	4
CO-02	ユーザ	参加申請→承認/却下	チーム形成	4

MSG-01	ユーザ	個人DM（1対1）	仲間作り完結	8
MSG-02	ユーザ	project会話（グループ）	チーム内会話	5
MSG-03	システム	未読/既読（簡易）	見逃し防止	2

NT-01	ユーザ	アプリ内通知（一覧/既読）	見逃し防止	4
NT-02	システム	メール通知（即時）	離脱防止	6
NT-03	ユーザ	通知設定（種類×チャネル、将来ダイジェスト余地）	通知疲れ回避	4
NT-04	システム	通知テンプレ整備	一貫UX	3

TL-01	ユーザ	タイムライン投稿（進捗/相談/見せびらかし）	ワイワイ感	6
TL-02	ユーザ	タイムライン返信・リアクション	交流	4
TL-03	ユーザ	相談の解決済み/ベスト回答	助け合い成立	3
TL-04	ユーザ	タイムラインフィルタ（全体/フォロー/イベント/プロジェクト）	見たいものが見れる	4
TL-05	システム	最近の動き（アクティビティ）	ひと気演出	3
TL-06	システム	プレゼンス（最終アクティブ/作業中）	オンライン感	4

OP-01	システム	ログ/エラートラッキング	運用性	2
OP-02	システム	レート制限など最低限のスパム対策	荒らし対策	2
OP-03	システム	CI/CD・.env整備	安定リリース	2
OP-04	システム	主要E2E/回帰テスト	品質確保	5
OP-05	システム	規約/プライバシー表示	信頼性	1
OP-06	システム	計測（投稿/更新/支援/メッセージ等）	改善サイクル	2
OP-07	システム	DBマイグレーション/初期データ	土台	3

TOTAL	-	-	-	154
BUFFER(+20%)	-	-	-	31
GRAND_TOTAL	-	-	-	185
